cust_id,type,fname,lname,email,street,city,state,zip
C000020,Individual,Preston,Carter,pcarter@yahoo.com,3300 Dubois,West Lafayette,Indiana,47906-1199
C000021,Individual,Stuart,Fowler,sfowler@gmail.com,2601 Soldiers Home,West Lafayette,Indiana,47906-1643
C000022,Individual,Sydney,Jones,sjones@hotmail.com,133 N 4th,Lafayette,Indiana,47901-1308
C000023,Individual,Nicholas,Gibson,ngibson@hotmail.com,700 N 3Rd,Lafayette,Indiana,47901-10ND
C000024,Individual,Vincent,Montgomery,vmontgomery@yahoo.com,201 Hamilton,West Lafayette,Indiana,47906-1138
C000025,Individual,Maria,Martin,mmartin@yahoo.com,200 Alabama,Lafayette,Indiana,47901-12ND
C000026,Business,Edgar,Henderson,ehenderson@outlook.com,1317 Columbia,Lafayette,Indiana,47901-1527
C000027,Individual,Rubie,Robinson,rrobinson@yahoo.com,710 Brown,Lafayette,Indiana,47901-1035
C000028,Business,Charlie,Miller,cmiller@outlook.com,133 N 4th,Lafayette,Indiana,47901-1386
C000029,Business,Adrian,Clark,aclark@hotmail.com,3512 Bethel,West Lafayette,Indiana,47906-0613
C000030,Individual,Jacob,Thomas,jthomas@outlook.com,600 Avondale,West Lafayette,Indiana,47906-1102
C000031,Individual,Arianna,Kelley,akelley@gmail.com,3008 Courthouse,West Lafayette,Indiana,47906-1051
C000032,Individual,Michael,Carroll,mcarroll@gmail.com,3130 Courthouse,West Lafayette,Indiana,47906-1019
C000033,Individual,Sarah,Parker,sparker@hotmail.com,301 Main,Lafayette,Indiana,47901-1363
C000034,Individual,Garry,Wright,gwright@hotmail.com,2601 Soldiers Home,West Lafayette,Indiana,47906-1647
C000035,Individual,Charlotte,Gray,cgray@yahoo.com,3301 Lagrange,West Lafayette,Indiana,47906-11ND
C000036,Individual,Martin,Scott,mscott@gmail.com,2 S 6th,Lafayette,Indiana,47901-1623
C000037,Individual,Roland,Richards,rrichards@outlook.com,1218 Columbia,Lafayette,Indiana,47901-1512
C000038,Individual,Ryan,Reed,rreed@yahoo.com,2600 Westminster,West Lafayette,Indiana,47906-1438
C000039,Individual,Kate,Hunt,khunt@yahoo.com,136 N 6th,Lafayette,Indiana,47901-1488
C000040,Individual,Daniel,Ryan,dryan@outlook.com,301 Main,Lafayette,Indiana,47901-1357
C000041,Individual,Edgar,Thomas,ethomas@outlook.com,805 South,Lafayette,Indiana,47901-1482
C000042,Individual,Camila,Harrison,charrison@yahoo.com,800 Avondale,West Lafayette,Indiana,47906-1106
C000043,Individual,Deanna,Wright,dwright@yahoo.com,133 N 4th,Lafayette,Indiana,47901-1380
C000044,Business,Honey,Davis,hdavis@gmail.com,3874 Campus Suites,West Lafayette,Indiana,47906-0978
C000045,Individual,Honey,Payne,hpayne@outlook.com,3200 Elkhart,West Lafayette,Indiana,47906-1151
C000046,Individual,Freddie,Walker,fwalker@outlook.com,1200 Columbia,Lafayette,Indiana,47901-1520
C000047,Business,Darcy,Wright,dwright@outlook.com,712 N 6th,Lafayette,Indiana,47901-1018
C000048,Individual,Lucas,Johnston,ljohnston@hotmail.com,300 North,Lafayette,Indiana,47901-1190
C000049,Business,Melissa,Harris,mharris@gmail.com,401 N 6th,Lafayette,Indiana,47901-1126
C000050,Individual,Naomi,Robinson,nrobinson@outlook.com,300 S 3Rd,Lafayette,Indiana,47901-1609
C000051,Individual,Catherine,Murray,cmurray@yahoo.com,3872 Campus Suites,West Lafayette,Indiana,47906-0988
C000052,Individual,Annabella,Tucker,atucker@outlook.com,2600 Soldiers Home,West Lafayette,Indiana,47906-1634
C000053,Individual,Tara,Murray,tmurray@gmail.com,401 Fountain,Lafayette,Indiana,47901-17ND
C000054,Individual,Darcy,Cunningham,dcunningham@yahoo.com,3017 Courthouse,West Lafayette,Indiana,47906-1040
C000055,Individual,Dainton,Warren,dwarren@outlook.com,2801 N Salisbury,West Lafayette,Indiana,47906-14ND
C000056,Individual,Tony,Harper,tharper@yahoo.com,3005 Courthouse,West Lafayette,Indiana,47906-1047
C000057,Individual,Alina,Cooper,acooper@gmail.com,2700 Yeager,West Lafayette,Indiana,47906-1340
C000058,Individual,Naomi,Taylor,ntaylor@outlook.com,3876 Campus Suites,West Lafayette,Indiana,47906-0981
C000059,Individual,Maria,Scott,mscott@outlook.com,2700 Soldiers Home,West Lafayette,Indiana,47906-1635
C000060,Individual,Victor,Cooper,vcooper@yahoo.com,206 S 6th,Lafayette,Indiana,47901-1684
C000061,Business,Mike,Gray,mgray@outlook.com,100 Sagamore,West Lafayette,Indiana,47906-1569
C000062,Individual,Grace,Higgins,ghiggins@gmail.com,2101 Cushing,West Lafayette,Indiana,47906-0819
C000063,Individual,Heather,Holmes,hholmes@outlook.com,601 Ferry,Lafayette,Indiana,47901-1143
C000064,Individual,Robert,Rogers,rrogers@gmail.com,206 S 6th,Lafayette,Indiana,47901-1631
C000065,Individual,Deanna,Morris,dmorris@yahoo.com,2600 Calvin,West Lafayette,Indiana,47906-1402
C000066,Individual,Connie,Kelly,ckelly@hotmail.com,3864 Campus Suites,West Lafayette,Indiana,47906-0990
C000067,Individual,Roland,Barrett,rbarrett@outlook.com,3868 Campus Suites,West Lafayette,Indiana,47906-0995
C000068,Individual,Julian,Rogers,jrogers@hotmail.com,3774 Campus Suites,West Lafayette,Indiana,47906-0953
C000069,Individual,Edgar,Wells,ewells@gmail.com,318 S 5th,Lafayette,Indiana,47901-1602
C000070,Individual,Roman,Cunningham,rcunningham@outlook.com,422 N 6th,Lafayette,Indiana,47901-1128
C000071,Individual,Aldus,Dixon,adixon@gmail.com,622 Ferry,Lafayette,Indiana,47901-1197
C000072,Individual,Robert,Clark,rclark@yahoo.com,626 Ferry,Lafayette,Indiana,47901-1114
C000073,Individual,Oliver,Cameron,ocameron@yahoo.com,3762 Campus Suites,West Lafayette,Indiana,47906-0941
C000074,Individual,James,Tucker,jtucker@hotmail.com,8 N 3Rd,Lafayette,Indiana,47901-1221
C000075,Individual,Lydia,Dixon,ldixon@hotmail.com,100 Main,Lafayette,Indiana,47901-1242
C000076,Individual,Kelvin,Bennett,kbennett@outlook.com,600 Sagamore,West Lafayette,Indiana,47906-14ND
C000077,Individual,Ellia,Murray,emurray@outlook.com,401 Lingle,Lafayette,Indiana,47901-1736
C000078,Individual,Jared,Hall,jhall@hotmail.com,230 N 4th,Lafayette,Indiana,47901-1322
C000079,Individual,Arnold,Sullivan,asullivan@yahoo.com,401 Cincinnati,Lafayette,Indiana,47901-10ND
C000080,Individual,Lenny,Holmes,lholmes@gmail.com,3818 Campus Suites,West Lafayette,Indiana,47906-0975
C000081,Individual,Natalie,Cooper,ncooper@yahoo.com,133 N 4th,Lafayette,Indiana,47901-1383
C000082,Individual,Arnold,Craig,acraig@yahoo.com,2901 Kent,West Lafayette,Indiana,47906-10ND
C000083,Individual,Jenna,Ferguson,jferguson@hotmail.com,700 Columbia,Lafayette,Indiana,47901-14ND
C000084,Individual,Nicholas,Wells,nwells@yahoo.com,300 Main,Lafayette,Indiana,47901-1328
C000085,Individual,Max,Cole,mcole@hotmail.com,3300 Hamilton,West Lafayette,Indiana,47906-1268
C000086,Business,Hailey,Alexander,halexander@yahoo.com,140 S Salisbury,West Lafayette,Indiana,47906-0706
C000087,Individual,Julian,Morrison,jmorrison@gmail.com,2106 Mccormick,West Lafayette,Indiana,47906-0604
C000088,Individual,Alan,Ellis,aellis@hotmail.com,400 Cumberland,West Lafayette,Indiana,47906-1608
C000089,Business,Savana,Scott,sscott@hotmail.com,501 S 4th,Lafayette,Indiana,47901-1705
C000090,Individual,Catherine,Morris,cmorris@yahoo.com,700 Essex,West Lafayette,Indiana,47906-1533
C000091,Individual,Sarah,Mason,smason@hotmail.com,101 Northwood,West Lafayette,Indiana,47906-1256
C000092,Individual,Kate,Harper,kharper@outlook.com,1318 South,Lafayette,Indiana,47901-1563
C000093,Individual,Gianna,Ellis,gellis@outlook.com,2501 Yeager,West Lafayette,Indiana,47906-1335
C000094,Individual,George,Robinson,grobinson@gmail.com,3878 Campus Sites,West Lafayette,Indiana,47906-0979
C000095,Individual,Alexander,Kelley,akelley@outlook.com,901 Devon,West Lafayette,Indiana,47906-1319
C000096,Individual,George,Hunt,ghunt@hotmail.com,3451 Hamilton,West Lafayette,Indiana,47906-1272
C000097,Individual,Lilianna,Stewart,lstewart@hotmail.com,3401 Soldiers Home,West Lafayette,Indiana,47906-1299
C000098,Individual,Arnold,Harrison,aharrison@yahoo.com,3772 Campus Suites,West Lafayette,Indiana,47906-0947
C000099,Individual,Alfred,Williams,awilliams@hotmail.com,3007 Courthouse,West Lafayette,Indiana,47906-1044
C000100,Individual,Miley,Wells,mwells@gmail.com,216 N 4th,Lafayette,Indiana,47901-1324
C000101,Individual,Haris,Carter,hcarter@gmail.com,3346 Peppermill,West Lafayette,Indiana,47906-1079
C000102,Individual,Julia,Cunningham,jcunningham@hotmail.com,538 S 7th,Lafayette,Indiana,47901-1769
C000103,Individual,Tara,Perry,tperry@gmail.com,423 N 5th,Lafayette,Indiana,47901-1182
C000104,Individual,Emma,Richards,erichards@yahoo.com,2 S 8th,Lafayette,Indiana,47901-1645
C000105,Individual,Albert,Harris,aharris@outlook.com,601 North,Lafayette,Indiana,47901-1154
C000106,Business,Sawyer,Myers,smyers@hotmail.com,3015 Courthouse,West Lafayette,Indiana,47906-1043
C000107,Business,Jessica,Perry,jperry@yahoo.com,3824 Campus Suites,West Lafayette,Indiana,47906-0968
C000108,Business,Kellan,Ellis,kellis@gmail.com,3301 Indian Rock,West Lafayette,Indiana,47906-1231
C000109,Business,Vivian,Gray,vgray@outlook.com,3101 Sullivan,West Lafayette,Indiana,47906-1247
C000110,Individual,Miranda,Ross,mross@outlook.com,812 Brown,Lafayette,Indiana,47901-1094
C000111,Individual,Lily,Barrett,lbarrett@hotmail.com,323 Columbia,Lafayette,Indiana,47901-1307
C000112,Individual,Annabella,Chapman,achapman@yahoo.com,3764 Campus Suites,West Lafayette,Indiana,47906-0934
C000113,Individual,Roland,Miller,rmiller@gmail.com,3115 Courthouse,West Lafayette,Indiana,47906-1031
C000114,Individual,Kristian,Jones,kjones@gmail.com,513 S 4th,Lafayette,Indiana,47901-1752
C000115,Individual,Frederick,Harrison,fharrison@gmail.com,3801 Campus Suites,West Lafayette,Indiana,47906-0928
C000116,Individual,Darcy,Morris,dmorris@outlook.com,3400 Putnam,West Lafayette,Indiana,47906-1289
C000117,Individual,Stella,Brooks,sbrooks@hotmail.com,2400 Happy Hollow,West Lafayette,Indiana,47906-1711
C000118,Individual,Michael,Adams,madams@gmail.com,3035 Courthouse,West Lafayette,Indiana,47906-1037
C000119,Individual,Paige,Williams,pwilliams@gmail.com,3878 Campus Suites,West Lafayette,Indiana,47906-0987
C000120,Individual,Amy,Scott,ascott@hotmail.com,1010 Cumberland,West Lafayette,Indiana,47906-1400
C000121,Individual,Adrianna,Turner,aturner@hotmail.com,122 N 3Rd,Lafayette,Indiana,47901-1207
C000122,Individual,Abraham,Johnston,ajohnston@hotmail.com,3762 Campus Suites,West Lafayette,Indiana,47906-0933
C000123,Individual,Tyler,Hunt,thunt@outlook.com,3701 Tesla,West Lafayette,Indiana,47906-0815
C000124,Individual,Miranda,Cole,mcole@outlook.com,2700 Westminter,West Lafayette,Indiana,47906-14ND
C000125,Individual,Valeria,Murray,vmurray@hotmail.com,1401 Ferry,Lafayette,Indiana,47901-1823
C000126,Individual,Edward,Cameron,ecameron@hotmail.com,3010 Courthouse,West Lafayette,Indiana,47906-1005
C000127,Individual,Emily,Spencer,espencer@gmail.com,701 Essex,West Lafayette,Indiana,47906-1532
C000128,Individual,Daniel,Carroll,dcarroll@yahoo.com,3400 Laporte,West Lafayette,Indiana,47906-1278
C000129,Individual,Roman,Scott,rscott@gmail.com,2601 Soldiers Home,West Lafayette,Indiana,47906-1650
C000130,Individual,Grace,Thomas,gthomas@yahoo.com,2243 Us Highway 52,West Lafayette,Indiana,47906-0908
C000131,Individual,Charlotte,Williams,cwilliams@hotmail.com,500 Lagrange,West Lafayette,Indiana,47906-1154
C000132,Individual,Agata,Bailey,abailey@yahoo.com,500 Ferry,Lafayette,Indiana,47901-1140
C000133,Individual,Chester,Gray,cgray@hotmail.com,801 Hitt,Lafayette,Indiana,47901-1703
C000134,Individual,Bruce,Payne,bpayne@outlook.com,2901 N Salisbury,West Lafayette,Indiana,47906-1435
C000135,Individual,Clark,Kelly,ckelly@gmail.com,2700 Kent,West Lafayette,Indiana,47906-1349
C000136,Business,John,Roberts,jroberts@yahoo.com,500 Wall,Lafayette,Indiana,47901-1075
C000137,Business,Lucy,Fowler,lfowler@outlook.com,200 Tamiami,West Lafayette,Indiana,47906-1208
C000138,Business,Edwin,Dixon,edixon@outlook.com,701 Main,Lafayette,Indiana,47901-1459
C000139,Business,Penelope,Ferguson,pferguson@hotmail.com,3118 Courthouse,West Lafayette,Indiana,47906-1024
C000140,Individual,Miller,Bailey,mbailey@gmail.com,200 Westview,West Lafayette,Indiana,47906-1663
C000141,Individual,Derek,Howard,dhoward@outlook.com,415 Columbia,Lafayette,Indiana,47901-1335
C000142,Individual,William,Holmes,wholmes@gmail.com,500 Lingle,Lafayette,Indiana,47901-1737
C000143,Individual,Aston,Turner,aturner@yahoo.com,230 N 4th,Lafayette,Indiana,47901-1341
C000144,Individual,Catherine,Cooper,ccooper@outlook.com,2243 Us Highway 52,West Lafayette,Indiana,47906-0913
C000145,Individual,Paul,Wright,pwright@yahoo.com,1200 Cumberland,West Lafayette,Indiana,47906-13ND
C000146,Individual,Thomas,Morrison,tmorrison@outlook.com,100 S 4th,Lafayette,Indiana,47901-1607
C000147,Individual,Dominik,Ellis,dellis@gmail.com,1051 Cumberland,West Lafayette,Indiana,47906-1496
C000148,Individual,Adele,Roberts,aroberts@hotmail.com,111 N 4th,Lafayette,Indiana,47901-1376
C000149,Individual,Carlos,Owens,cowens@outlook.com,3301 Elkhart,West Lafayette,Indiana,47906-1161
C000150,Individual,Daryl,Craig,dcraig@gmail.com,2201 Cushing,West Lafayette,Indiana,47906-0820
C000151,Individual,Roland,Bennett,rbennett@outlook.com,512 Lingle,Lafayette,Indiana,47901-1739
C000152,Individual,Julia,Smith,jsmith@gmail.com,2 N 2Nd,Lafayette,Indiana,47901-1204
C000153,Business,Lenny,Kelley,lkelley@outlook.com,601 Eden,West Lafayette,Indiana,47906-1527
C000154,Individual,Miley,Stevens,mstevens@gmail.com,2701 Grosbeak,West Lafayette,Indiana,47906-0612
C000155,Individual,Jenna,Taylor,jtaylor@outlook.com,3000 Yeager,West Lafayette,Indiana,47906-11ND
C000156,Individual,Marcus,Johnston,mjohnston@gmail.com,613 S 9th,Lafayette,Indiana,47901-1760
C000157,Individual,Stuart,Harper,sharper@yahoo.com,120 N 3Rd,Lafayette,Indiana,47901-1290
C000158,Individual,Alina,Gibson,agibson@outlook.com,2601 Manchester,West Lafayette,Indiana,47906-1392
C000159,Individual,Agata,Foster,afoster@outlook.com,500 N 7th,Lafayette,Indiana,47901-1033
C000160,Individual,Carlos,Hawkins,chawkins@outlook.com,3001 Yeager,West Lafayette,Indiana,47906-11ND
C000161,Individual,Julian,Perry,jperry@gmail.com,200 Ferry,Lafayette,Indiana,47901-1168
C000162,Individual,Maria,Myers,mmyers@hotmail.com,221 Perrin,Lafayette,Indiana,47901-1543
C000163,Individual,Brooke,Bennett,bbennett@outlook.com,901 Cumberland,West Lafayette,Indiana,47906-1451
C000164,Individual,Melanie,Gibson,mgibson@outlook.com,301 N 4th,Lafayette,Indiana,47901-1111
C000165,Individual,Ryan,Robinson,rrobinson@gmail.com,300 Westview,West Lafayette,Indiana,47906-1673
C000166,Individual,Amber,Clark,aclark@gmail.com,301 Main,Lafayette,Indiana,47901-1359
C000167,Individual,Catherine,Williams,cwilliams@gmail.com,1003 Main,Lafayette,Indiana,47901-1566
C000168,Individual,Luke,Adams,ladams@outlook.com,300 Columbia,Lafayette,Indiana,47901-13ND
C000169,Individual,Amy,Gibson,agibson@outlook.com,305 S 9th,Lafayette,Indiana,47901-1694
C000170,Business,Belinda,Robinson,brobinson@gmail.com,3101 Soldiers Home,West Lafayette,Indiana,47906-1215
C000171,Individual,Oscar,Miller,omiller@outlook.com,501 N 6th,Lafayette,Indiana,47901-1016
C000172,Individual,Antony,Morgan,amorgan@yahoo.com,301 N 6th,Lafayette,Indiana,47901-1123
C000173,Individual,Alina,Nelson,anelson@gmail.com,2 S 2Nd,Lafayette,Indiana,47901-1216
C000174,Individual,Ted,Foster,tfoster@hotmail.com,3000 Fall,West Lafayette,Indiana,47906-1126
C000175,Individual,Chloe,Ellis,cellis@gmail.com,637 Ferry,Lafayette,Indiana,47901-1144
C000176,Individual,Frederick,Hamilton,fhamilton@hotmail.com,2601 Soldiers Home,West Lafayette,Indiana,47906-1668
C000177,Individual,Honey,Phillips,hphillips@yahoo.com,3308 Peppermill,West Lafayette,Indiana,47906-1094
C000178,Individual,Naomi,Hill,nhill@yahoo.com,512 Lingle,Lafayette,Indiana,47901-1768
C000179,Individual,Arthur,Kelly,akelly@yahoo.com,3864 Campus Suites,West Lafayette,Indiana,47906-0998
C000180,Individual,Alen,Payne,apayne@gmail.com,501 N 8th,Lafayette,Indiana,47901-1041
C000181,Individual,Arnold,Holmes,aholmes@yahoo.com,521 S 9th,Lafayette,Indiana,47901-1762
C000182,Individual,Adison,Crawford,acrawford@yahoo.com,101 Reba,West Lafayette,Indiana,47906-1615
C000183,Individual,Anna,Douglas,adouglas@hotmail.com,700 Warrick,West Lafayette,Indiana,47906-1178
C000184,Individual,William,Johnson,wjohnson@yahoo.com,550 Northwestern,West Lafayette,Indiana,47906-1346
C000185,Individual,Rosie,Adams,radams@yahoo.com,100 Tamiami,West Lafayette,Indiana,47906-1206
C000186,Individual,Ned,Craig,ncraig@hotmail.com,100 Prophet,West Lafayette,Indiana,47906-1211
C000187,Individual,Tara,Warren,twarren@gmail.com,101 N 7th,Lafayette,Indiana,47901-14ND
C000188,Individual,Roman,Williams,rwilliams@hotmail.com,601 S 4th,Lafayette,Indiana,47901-1707
C000189,Business,Adelaide,Harris,aharris@yahoo.com,201 N 11th,Lafayette,Indiana,47901-1509
C000190,Individual,Albert,Higgins,ahiggins@gmail.com,800 Warrick,West Lafayette,Indiana,47906-1179
C000191,Individual,Garry,Lloyd,glloyd@gmail.com,250 Main,Lafayette,Indiana,47901-1285
C000192,Individual,Alexia,Owens,aowens@gmail.com,3037 Courthouse,West Lafayette,Indiana,47906-1035
C000193,Individual,Florrie,Morgan,fmorgan@hotmail.com,201 N 3Rd,Lafayette,Indiana,47901-12ND
C000194,Individual,Albert,Robinson,arobinson@hotmail.com,801 North,Lafayette,Indiana,47901-1161
C000195,Individual,Sawyer,Carroll,scarroll@outlook.com,901 Essex,West Lafayette,Indiana,47906-1453
C000196,Individual,Brad,Craig,bcraig@gmail.com,3001 Stratus,West Lafayette,Indiana,47906-0904
C000197,Individual,Aldus,Barrett,abarrett@gmail.com,3862 Campus Suites,West Lafayette,Indiana,47906-0992
C000198,Individual,Lydia,Roberts,lroberts@outlook.com,2106 Mccormick,West Lafayette,Indiana,47906-0605
C000199,Individual,Florrie,Cole,fcole@hotmail.com,1114 Ferry,Lafayette,Indiana,47901-1517
C000200,Individual,Max,Watson,mwatson@hotmail.com,3772 Campus Suites,West Lafayette,Indiana,47906-0943
C000201,Individual,Ada,Adams,aadams@outlook.com,2601 Soldiers Home,West Lafayette,Indiana,47906-1646
C000202,Individual,Aldus,Barnes,abarnes@gmail.com,304 S 6th,Lafayette,Indiana,47901-1601
C000203,Individual,Penelope,Wells,pwells@outlook.com,2500 Yeager,West Lafayette,Indiana,47906-1336
C000204,Individual,Victor,Henderson,vhenderson@outlook.com,3000 Fall,West Lafayette,Indiana,47906-1115
C000205,Individual,Sam,Taylor,staylor@yahoo.com,3301 Crawford,West Lafayette,Indiana,47906-1183
C000206,Individual,Charlotte,Stewart,cstewart@outlook.com,2410 Happy Hollow,West Lafayette,Indiana,47906-1727
C000207,Individual,Edward,Moore,emoore@hotmail.com,3760 Campus Suites,West Lafayette,Indiana,47906-0935
C000208,Individual,Alexander,Dixon,adixon@outlook.com,3125 Courthouse,West Lafayette,Indiana,47906-1026
C000209,Individual,Arthur,Mitchell,amitchell@hotmail.com,2501 Soldiers Home,West Lafayette,Indiana,47906-1728
C000210,Individual,Jared,Watson,jwatson@outlook.com,2790 Linda,West Lafayette,Indiana,47906-1614
C000211,Individual,Aida,Farrell,afarrell@outlook.com,900 Columbia,Lafayette,Indiana,47901-1441
C000212,Individual,Tiana,Morgan,tmorgan@hotmail.com,3772 Campus Suites,West Lafayette,Indiana,47906-0951
C000213,Individual,Michelle,Evans,mevans@hotmail.com,2620 Covington,West Lafayette,Indiana,47906-1457
C000214,Individual,Camila,Barnes,cbarnes@yahoo.com,117 N 5th,Lafayette,Indiana,47901-1487
C000215,Business,Roland,Payne,rpayne@yahoo.com,2901 Soldiers Home,West Lafayette,Indiana,47906-1658
C000216,Individual,Richard,Lloyd,rlloyd@outlook.com,200 Myrtle,West Lafayette,Indiana,47906-1623
C000217,Individual,Ned,Watson,nwatson@yahoo.com,721 Cincinati,Lafayette,Indiana,47901-1070
C000218,Individual,Lydia,Wright,lwright@outlook.com,300 S 6th,Lafayette,Indiana,47901-1635
C000219,Individual,Lily,Hawkins,lhawkins@outlook.com,117 N 5th,Lafayette,Indiana,47901-1484
C000220,Individual,Caroline,Lloyd,clloyd@outlook.com,3109 Courthouse,West Lafayette,Indiana,47906-1014
C000221,Individual,Aida,Wells,awells@gmail.com,3300 Morgan,West Lafayette,Indiana,47906-1280
C000222,Individual,Olivia,Barnes,obarnes@gmail.com,201 Main,Lafayette,Indiana,47901-1245
C000223,Individual,Evelyn,Williams,ewilliams@yahoo.com,700 North,Lafayette,Indiana,47901-1158
C000224,Individual,Julia,Miller,jmiller@gmail.com,3200 Soldiers Home,West Lafayette,Indiana,47906-1218
C000225,Individual,Jenna,Spencer,jspencer@outlook.com,200 Cumberland,West Lafayette,Indiana,47906-1604
C000226,Individual,Sabrina,Riley,sriley@yahoo.com,500 N 5th,Lafayette,Indiana,47901-1000
C000227,Individual,Jasmine,Mitchell,jmitchell@gmail.com,3601 Tesla,West Lafayette,Indiana,47906-0810
C000228,Individual,Camila,Higgins,chiggins@gmail.com,3878 Campus Suites,West Lafayette,Indiana,47906-0983
C000229,Individual,Alford,Higgins,ahiggins@hotmail.com,401 Main,Lafayette,Indiana,47901-1379
C000230,Individual,Violet,Mitchell,vmitchell@gmail.com,801 Brown,Lafayette,Indiana,47901-1093
C000231,Individual,Catherine,Hill,chill@yahoo.com,3809 Campus Suites,West Lafayette,Indiana,47906-0956
C000232,Individual,Steven,Stewart,sstewart@outlook.com,601 Kent,West Lafayette,Indiana,47906-1544
C000233,Individual,Hailey,Harrison,hharrison@hotmail.com,400 North,Lafayette,Indiana,47901-1151
C000234,Individual,Alisa,Scott,ascott@gmail.com,501 Lagrange,West Lafayette,Indiana,47906-1156
C000235,Individual,Lydia,Farrell,lfarrell@yahoo.com,2900 Yeager,West Lafayette,Indiana,47906-1344
C000236,Individual,Sawyer,Owens,sowens@hotmail.com,1 N 3Rd,Lafayette,Indiana,47901-1206
C000237,Individual,Andrew,Payne,apayne@yahoo.com,3820 Campus Suites,West Lafayette,Indiana,47906-0969
C000238,Individual,Ted,Edwards,tedwards@gmail.com,426 Westview,West Lafayette,Indiana,47906-1674
C000239,Individual,Edwin,Ferguson,eferguson@hotmail.com,302 Ferry,Lafayette,Indiana,47901-1185
C000240,Individual,Ryan,Rogers,rrogers@outlook.com,3818 Campus Suites,West Lafayette,Indiana,47906-0967
C000241,Individual,Charlie,Thomas,cthomas@outlook.com,2741 N Salisbury,West Lafayette,Indiana,47906-1499
C000242,Individual,Freddie,Barrett,fbarrett@yahoo.com,3528 Bethel,West Lafayette,Indiana,47906-0614
C000243,Individual,Luke,Elliott,lelliott@hotmail.com,101 Westview,West Lafayette,Indiana,47906-1600
C000244,Business,Sydney,Ferguson,sferguson@hotmail.com,301 Main,Lafayette,Indiana,47901-1355
C000245,Business,Lily,Henderson,lhenderson@hotmail.com,3809 Campus Suites,West Lafayette,Indiana,47906-0964
C000246,Individual,Julian,Barrett,jbarrett@yahoo.com,3811 Campus Suites,West Lafayette,Indiana,47906-0962
C000247,Individual,Lucas,Myers,lmyers@outlook.com,3127 Courthouse,West Lafayette,Indiana,47906-1028
C000248,Individual,Tiana,Johnson,tjohnson@hotmail.com,3120 Courthouse,West Lafayette,Indiana,47906-1067
C000249,Individual,Sofia,Harris,sharris@gmail.com,201 N 4th,Lafayette,Indiana,47901-1310
C000250,Individual,Rebecca,Russell,rrussell@outlook.com,3401 Elkhart,West Lafayette,Indiana,47906-1162
C000251,Individual,Alissa,Howard,ahoward@gmail.com,500 Romig,Lafayette,Indiana,47901-1679
C000252,Individual,Dexter,Thomas,dthomas@hotmail.com,620 South,Lafayette,Indiana,47901-1490
C000253,Individual,Madaline,Alexander,malexander@gmail.com,422 N 6th,Lafayette,Indiana,47901-1102
C000254,Individual,April,Miller,amiller@hotmail.com,2900 Manchester,West Lafayette,Indiana,47906-13ND
C000255,Individual,Alexander,Craig,acraig@outlook.com,400 Sagamore,West Lafayette,Indiana,47906-1506
C000256,Individual,Cadie,Baker,cbaker@yahoo.com,540 S 9th,Lafayette,Indiana,47901-1758
C000257,Individual,Robert,Richards,rrichards@hotmail.com,801 Columbia,Lafayette,Indiana,47901-1440
C000258,Individual,Harold,Thomas,hthomas@hotmail.com,700 Avondale,West Lafayette,Indiana,47906-1104
