cust_id,phone
C000232,996-456-4325
C000233,414-108-2613
C000234,890-336-3254
C000235,471-526-5401
C000236,306-170-1847
C000237,883-449-2814
C000238,341-948-7720
C000239,430-599-2548
C000240,780-503-1347
C000241,165-147-5153
C000242,672-324-5097
C000243,313-265-7338
C000244,694-136-6014
C000245,769-998-2436
C000246,674-200-8432
C000247,261-228-3538
C000248,728-223-1176
C000249,805-708-1711
C000250,306-578-9463
C000251,494-366-6252
C000252,110-898-2644
C000253,283-876-8010
C000254,593-273-5863
C000255,447-545-1153
C000256,852-243-5401
C000257,570-270-5128
C000258,320-941-8680
C000259,144-571-5825
C000260,265-893-1619
C000261,117-827-8936
C000262,685-963-5713
C000263,339-410-3287
C000264,450-800-6963
C000265,408-338-6953
C000266,150-798-8593
C000267,193-221-2332
C000268,137-590-7410
C000269,375-983-8034
C000270,172-154-4452
C000271,954-372-9975
C000272,473-208-4972
C000273,415-120-6206
C000274,992-653-9251
C000275,676-983-4215
C000007,421-857-2059
C000069,341-589-8194
C000123,512-513-8963
C000243,196-498-6424
C000199,980-136-5636
C000044,275-992-8945
C000099,521-132-1029
C000169,811-667-1152
C000269,906-707-6622
C000240,975-297-7226
C000271,825-889-8935
C000272,669-150-7004
C000273,284-240-7248
C000274,968-411-2670
C000275,886-881-4994
C000276,621-158-2579
C000277,563-937-0640
C000278,416-970-7108
C000279,623-293-7843
C000280,438-791-2239
C000281,431-554-0941
C000282,912-067-1511
C000283,665-860-2016
C000284,973-867-3500
C000285,457-206-9514
C000286,728-108-5670
C000287,502-623-2916
C000288,950-553-2886
C000289,356-754-5774
C000290,327-662-9625
C000291,708-870-7546
C000292,987-002-2435
C000293,931-211-8673
C000294,380-543-9180
C000295,837-237-5078
C000296,440-061-9780
C000297,915-422-7788
C000298,281-790-6821
C000299,622-396-7061
C000300,949-768-6257
C000301,326-035-7419
C000302,537-209-5480
C000303,332-132-9993
C000304,436-575-5559
C000305,920-553-4912
C000306,369-506-8088
C000307,316-562-0776
C000308,857-893-3401
C000309,555-401-6857
C000310,469-364-6319
C000311,712-955-1261
C000312,839-699-5140
C000313,359-388-5801
C000314,360-310-4634
C000315,588-611-8256
C000316,983-212-7958
C000317,905-426-4285
C000318,388-026-9159
C000319,476-290-5674
C000320,888-984-1363
C000321,381-249-1092
C000322,742-028-9770
C000323,722-752-9198
C000324,477-259-0786
C000325,832-970-0773
C000326,671-776-4623
C000327,710-728-3022
C000328,234-621-3761
C000329,847-241-8542
C000330,467-554-0853
C000331,446-031-5919
C000332,816-916-4066
C000333,627-863-6594
C000334,582-622-6102
C000335,623-177-5537
C000336,530-213-6513
C000337,686-487-2786
C000338,816-205-4705
C000339,743-574-5543
C000340,631-684-5910
C000341,838-699-7764
C000342,955-527-8727
C000343,565-503-1824
C000344,889-844-1435
C000345,745-141-2475
C000346,334-496-0790
C000347,930-225-6176
C000348,252-978-7181
C000349,924-028-2961
C000350,529-190-6224
C000351,339-508-4500
C000352,864-298-7009
C000353,905-199-7850
C000354,481-086-9281
C000355,689-680-5923
C000356,502-095-3478
C000357,843-828-0650
C000358,589-187-5658
C000359,611-840-7491
C000360,811-877-1538
C000361,454-455-4829
C000362,902-113-2567
C000363,634-724-4894
C000364,616-665-7786
C000365,464-796-6080
C000366,401-422-0848
C000367,669-784-5912
C000368,245-015-1855
C000369,943-537-8923
C000370,201-294-2221
C000371,734-193-3449
C000372,290-057-4839
C000373,902-234-0121
C000374,272-635-8267
C000375,689-234-4843
C000376,540-629-5874
C000377,908-581-3030
C000378,454-527-3215
C000379,271-224-3943
C000380,381-236-8217
C000381,252-511-1298
C000382,316-017-3017
C000383,205-925-8669
C000384,926-806-4498
C000385,866-482-5766
C000386,758-087-4967
C000387,447-220-2702
C000388,845-815-2582
C000389,900-687-2700
C000390,542-791-7224
C000391,311-062-9472
C000392,533-549-2412
C000393,708-701-1288
C000394,863-990-8043
C000395,802-477-5983
C000396,654-979-4123
C000397,806-145-8086
C000398,802-952-2211
C000399,433-225-8190
C000400,776-109-3346
C000401,736-292-0252
C000402,903-505-6100
C000403,354-669-1691
C000404,873-058-7614
C000405,902-956-4408
C000406,669-537-4615
C000407,275-405-5795
C000408,201-844-0722
C000409,277-086-5514
C000410,968-994-8645
C000411,409-873-0764
C000412,231-776-9053
C000413,780-562-2583
C000414,605-964-7685
C000415,375-295-5048
C000416,348-018-1111
C000417,934-016-1281
C000418,285-358-2622
C000419,669-874-0081
C000420,502-331-4058
C000421,654-189-7324
C000422,885-020-3145
C000423,828-976-0768
C000424,862-984-8064
C000425,556-879-1651
C000426,788-839-5037
C000427,484-150-1073
C000428,354-755-2728
C000429,231-180-0960
C000430,216-942-5540
C000431,777-440-2616
C000432,305-803-2989
C000433,967-444-1956
C000434,905-140-5709
C000435,658-289-6102
C000436,470-852-8214
C000437,436-300-0022
C000438,238-400-9434
C000439,967-069-7223
C000440,569-103-3507
C000441,480-042-2536
C000442,758-903-6414
C000443,823-411-4244
C000444,203-298-1157
C000445,387-490-3697
C000446,839-167-7804
C000447,611-229-7245
C000448,400-390-7227
C000449,746-338-8464
C000450,785-447-7568
C000451,743-240-0380
C000452,258-871-1496
C000453,976-600-2833
C000454,430-956-0350
C000455,881-580-5160
C000456,303-821-8052
C000457,774-064-0666
C000458,967-039-8517
C000459,957-116-5325
C000460,227-004-0427
C000461,204-305-9966
C000462,853-611-8648
C000463,254-861-9492
C000464,834-704-8648
C000465,235-523-1230
C000466,753-432-8479
C000467,633-321-4954
C000468,200-057-4062
C000469,983-455-3006
C000470,621-572-3940
C000471,434-221-4347
C000472,765-848-6780
C000473,575-044-6369
C000474,925-937-7826
C000475,809-141-0147
C000476,453-042-1253
C000477,239-460-3422
C000478,425-416-4245
C000479,421-987-2115
C000480,284-994-4878
C000481,486-049-9146
C000482,800-817-0323
C000483,285-280-0852
C000484,605-408-6432
C000485,480-934-7786
C000486,473-883-0853
C000487,618-524-1976
C000488,931-890-1018
C000489,668-971-7705
C000490,817-665-4079
C000491,478-485-9074
C000492,931-708-6937
C000493,831-311-3406
C000494,932-554-8468
C000495,816-318-5623
C000496,224-737-4761
C000497,581-564-4357
C000498,421-683-7816
C000499,413-996-3560
C000500,484-874-2815
C000501,978-115-5585
C000502,277-462-3448
C000503,518-468-5466
C000504,956-830-6107
C000505,765-118-1859
C000506,477-086-3283
C000507,379-751-0069
C000508,770-133-2036
C000509,703-339-3112
C000510,457-563-6141
C000511,434-163-9331
C000512,635-320-5088
C000513,678-231-0846
C000514,557-415-3129
C000515,254-151-3775
C000516,768-063-1081
C000517,530-420-2552
C000518,337-680-3857
C000519,481-512-6656
C000520,215-247-3709
C000521,253-650-1036
C000522,859-856-7140
C000523,406-741-3804
C000524,254-449-5870
C000525,642-881-1209
C000526,633-132-7430
C000527,732-208-3087
C000528,619-625-0925
C000529,349-948-5616
C000530,735-624-6637
C000531,718-427-9318
C000532,366-548-6913
C000533,713-007-3439
C000534,269-547-9229
C000535,331-173-4110
C000536,864-412-7812
C000537,706-954-4667
C000538,725-100-2053
C000539,200-547-3864
C000540,307-780-8043
C000541,475-668-6692
C000542,904-240-8598
C000543,710-123-1912
C000544,274-115-8197
C000545,464-157-9022
C000546,500-674-1727
C000547,674-941-5295
C000548,904-856-2402
C000549,809-319-1484
C000550,649-368-7827
C000551,466-427-1770
C000552,482-253-0924
C000553,235-190-8317
C000554,884-640-8962
C000555,704-578-0890
C000556,232-002-1444
C000557,947-530-2835
C000558,529-082-5290
C000559,738-907-0653
C000560,228-162-8744
C000561,207-028-6757
C000562,284-313-5826
C000563,634-151-2291
C000564,855-734-1075
C000565,605-495-8972
C000566,254-733-8656
C000567,843-532-5522
C000568,476-484-5204
C000569,488-000-2159
C000570,670-922-4697
C000571,243-023-5305
C000572,607-943-7974
C000573,773-651-6850
C000574,645-283-7595
C000575,215-546-9740
C000576,940-340-4324
C000577,972-198-7738
C000578,267-877-2540
C000579,875-457-4486
C000580,201-000-8699
C000581,737-608-0391
C000582,485-209-2553
C000583,585-379-0743
C000584,533-525-0121
C000585,209-325-8836
C000586,939-819-0149
C000587,768-049-8719
C000588,379-455-5025
C000589,833-570-3756
C000590,771-543-1610
C000591,964-752-4320
C000592,630-570-3914
C000593,434-928-3461
C000594,332-579-8794
C000595,845-627-7066
C000596,462-906-3923
C000597,276-309-4222
C000598,963-852-5706
C000599,325-123-4914
C000600,565-817-8712
C000601,886-194-8571
C000602,354-076-8360
C000603,523-739-3086
C000604,374-343-6326
C000605,368-336-9932
C000606,411-369-9310
C000607,651-553-2555
C000608,622-297-1407
C000609,520-823-2806
C000610,954-876-1381
C000611,424-438-9585
C000612,358-981-8690
C000613,508-135-0157
C000614,721-465-9820
C000615,845-912-5886
C000616,509-575-3421
C000617,214-896-6564
C000618,830-110-4067
C000619,421-389-2193
C000620,925-925-3845
C000621,221-193-8603
C000622,805-184-3359
C000623,326-867-1046
C000624,885-683-6177
C000625,847-683-3497
C000626,258-010-4660
C000627,968-295-6833
C000628,230-987-9457
C000629,349-368-9239
C000630,278-472-0797
C000631,826-828-5204
C000632,564-882-9898
C000633,663-549-3729
C000634,439-021-0318
C000635,957-767-9693
C000636,781-242-1016
C000637,424-767-0247
C000638,571-811-8811
C000639,415-343-1549
C000640,848-878-7558
C000641,677-153-7433
C000642,666-779-3952
C000643,960-601-3541
C000644,824-316-7318
C000645,969-531-0240
C000646,700-376-5769
C000647,541-823-7679
C000648,653-370-5772
C000649,674-518-9790
C000650,623-924-4678
C000651,250-627-8870
C000652,766-150-4001
C000653,731-879-7849
C000654,624-706-6920
C000655,653-976-6916
C000656,438-938-5540
C000657,428-779-7396
C000658,727-177-5991
C000659,719-708-5146
C000660,660-908-4587
C000661,310-055-8142
C000662,358-707-1224
C000663,325-875-5046
C000664,720-866-4844
C000665,718-375-9563
C000666,744-805-3627
C000667,729-403-9387
C000668,939-661-6058
C000669,876-658-4706
C000670,684-604-5086
C000671,548-211-7456
C000672,304-937-2233
C000673,580-845-0194
C000674,675-572-8454
C000675,257-984-3063
C000676,265-305-3028
C000677,679-455-3636
C000678,267-777-2240
C000679,688-164-8281
C000680,742-874-1200
C000681,455-166-7281
C000682,889-982-7578
C000683,830-968-9159
C000684,647-274-7442
C000685,722-672-1870
C000686,601-992-1047
C000687,217-725-9961
C000688,862-916-5827
C000689,886-211-8013
C000690,734-295-2800
C000691,244-194-6432
C000692,830-349-1014
C000693,809-527-5804
C000694,207-702-1470
C000695,701-255-9071
C000696,774-538-0257
C000697,542-559-8534
C000698,930-916-2019
C000699,363-326-2626
C000700,875-456-9559
C000701,508-107-1351
C000702,643-660-0254
C000703,715-173-4881
C000704,837-511-3880
C000705,658-856-3620
C000706,274-704-9570
C000707,449-071-5451
C000708,507-623-4707
C000709,651-591-1786
C000710,380-679-1529
C000711,535-645-8024
C000712,913-168-8551
C000713,209-931-1265
C000714,846-074-3259
C000715,315-590-9596
C000716,717-627-4301
C000717,883-412-4254
C000718,989-550-1024
C000719,438-441-5143
C000720,671-001-5364
C000721,304-546-7622
C000722,263-459-5649
C000723,239-544-0135
C000724,736-185-1057
C000725,449-893-4046
C000726,371-802-3065
C000727,557-352-5004
C000728,725-847-5790
C000729,771-004-6541
C000730,205-660-7668
C000731,971-960-5382
C000732,503-872-8744
C000733,300-662-5053
C000734,232-438-5194
C000735,417-206-6824
C000736,444-028-2141
C000737,324-407-7042
C000738,418-902-8113
C000739,557-880-6954
C000740,655-756-6706
C000741,489-219-3027
C000742,638-540-1745
C000743,207-235-3232
C000744,241-378-7160
C000745,332-625-3259
C000746,353-058-4358
C000747,541-048-0837
C000748,969-136-8362
C000749,315-689-4637
C000750,639-006-0631
C000751,539-048-8902
C000752,611-849-8346
C000753,769-077-3975
C000754,702-683-2798
C000755,965-048-2549
C000756,426-960-0118
C000757,762-217-6012
C000758,975-316-4822
C000759,379-554-7393
C000760,349-748-7893
C000761,548-000-5990
C000762,765-322-9582
C000763,440-794-0086
C000764,225-792-4926
C000765,239-421-7537
C000766,887-201-1223
C000767,811-727-3426
C000768,276-569-5007
C000769,416-251-4741
C000770,641-503-3141
C000771,741-642-5022
C000772,328-284-8312
C000773,311-827-3439
C000774,517-891-2688
C000775,863-659-7274
C000776,783-267-2234
C000777,552-010-3282
C000778,272-014-9508
C000779,856-477-0438
C000780,857-186-9306
C000781,856-752-3876
C000782,254-313-2918
C000783,249-634-1718
C000784,390-291-2940
C000785,633-898-0746
C000786,949-282-0140
C000787,984-690-3111
C000788,803-747-3543
C000789,534-486-2111
C000790,901-022-0332
C000791,302-366-4628
C000792,987-292-3378
C000793,378-533-6763
C000794,634-802-7342
C000795,200-888-5282
C000796,990-886-6212
C000797,604-446-7780
C000798,357-264-4533
C000799,584-965-4451
C000800,238-048-0168
C000801,205-118-0544
C000802,729-754-3274
C000803,634-891-8789
C000804,719-466-6501
C000805,515-781-4946
C000806,518-040-2581
C000807,864-674-7939
C000808,415-028-5464
C000809,310-913-8116
C000810,232-290-9901
C000811,304-222-1244
C000812,932-138-4448
C000813,446-669-7997
C000814,489-607-6180
C000815,511-820-5152
C000816,235-800-7475
C000817,232-112-6130
C000818,777-678-4904
C000819,444-847-5347
C000820,643-911-5860
C000821,810-450-0307
C000822,900-363-5040
C000823,731-945-1964
C000824,383-154-5307
C000825,677-513-2470
C000826,627-251-8154
C000827,862-666-5806
C000828,277-615-8407
C000829,589-517-1755
C000830,357-994-3120
C000831,904-099-2346
C000832,946-397-4177
C000833,924-227-2417
C000834,467-548-9790
C000835,650-346-0618
C000836,972-027-1816
C000837,885-187-4215
C000838,231-915-7943
C000839,916-526-9080
C000840,545-368-8017
C000841,354-939-2244
C000842,859-069-5525
C000843,428-456-2249
C000844,809-524-9077
C000845,977-922-6445
C000846,734-068-8731
C000847,603-487-2937
C000848,247-662-3164
C000849,550-957-7715
C000850,862-628-4301
C000851,649-134-2537
C000852,867-916-0322
C000853,985-684-9622
C000854,814-124-9254
C000855,977-500-6841
C000856,953-057-1116
C000857,946-364-4639
C000858,512-459-8171
C000859,982-955-7931
C000860,906-391-5575
C000861,537-768-7442
C000862,247-141-5695
C000863,334-331-3017
C000864,680-021-4234
C000865,320-783-4277
C000866,585-172-6284
C000867,942-342-4974
C000868,924-731-7542
C000869,931-196-8700
C000870,201-564-5312
C000871,910-990-0593
C000872,956-585-8738
C000873,255-005-9305
C000874,561-165-8168
C000875,660-036-5573
C000876,264-668-7677
C000877,947-482-9182
C000878,462-419-8652
C000879,968-564-6236
C000880,576-493-4089
C000881,445-082-5662
C000882,758-719-9028
C000883,604-223-0742
C000884,272-985-4301
C000885,900-496-6221
C000886,525-529-2044
C000887,829-313-5229
C000888,690-010-5769
C000889,831-748-2415
C000890,524-643-3398
C000891,885-241-9615
C000892,533-279-4801
C000893,956-421-7062
C000894,348-692-3997
C000895,518-644-6319
C000896,632-448-1771
C000897,369-283-0725
C000898,771-990-9257
C000899,655-692-2849
C000900,208-474-2433
C000901,932-731-3820
C000902,316-199-5575
C000903,511-855-8523
C000904,530-922-2316
C000905,886-702-5975
C000906,751-539-0888
C000907,683-193-8453
C000908,745-074-9855
C000909,952-337-0954
C000910,921-056-3489
C000911,256-373-8588
C000912,650-584-3671
C000913,868-968-5501
C000914,409-865-0223
C000915,260-843-4041
C000916,330-995-7250
C000917,368-742-6820
C000918,527-033-9335
C000919,873-015-2372
C000920,449-558-2793
C000921,676-031-4817
C000922,913-572-5347
C000923,950-238-2514
C000924,755-390-9072
C000925,834-318-8980
C000926,879-799-1124
C000927,945-146-5264
C000928,852-387-5465
C000929,754-501-5305
C000930,582-180-5236
C000931,763-560-2332
C000932,983-377-8699
C000933,669-349-5221
C000934,645-651-3816
C000935,751-298-1991
C000936,783-195-3241
C000937,788-101-3348
C000938,604-515-5887
C000939,826-523-8608
C000940,913-770-5150
C000941,354-132-5753
C000942,370-098-8289
C000943,539-580-3440
C000944,357-528-6452
C000945,665-401-8476
C000946,720-185-3857
C000947,345-067-5376
C000948,803-278-6094
C000949,763-923-0041
C000950,508-234-9668
C000951,628-071-2523
C000952,419-226-7284
C000953,984-864-1273
C000954,437-774-8008
C000955,762-498-4055
C000956,312-459-6554
C000957,545-526-8236
C000958,589-316-2257
C000959,629-148-1911
C000960,389-775-8792
C000961,554-468-7970
C000962,220-075-1205
C000963,961-870-8023
C000964,432-891-0568
C000965,823-548-6742
C000966,478-393-2199
C000967,952-656-3289
C000968,859-601-7300
C000969,434-717-9201
C000970,849-705-4186
C000506,929-763-1602
C000394,266-614-7820
C000693,529-843-4438
C000617,252-288-0066
C000891,914-414-2001
C000745,483-189-3266
C000911,473-023-1217
C000574,426-911-7078
C000294,908-899-7397
C000756,473-505-7051
C000794,579-632-0309
C000808,451-893-9472
C000707,339-183-8214
C000424,280-894-7550
C000959,679-336-1101
C000554,353-686-9877
C000641,954-830-0382
C000496,482-039-0799
C000302,948-091-1211
C000428,827-198-6502
C000758,304-328-4120
C000383,356-588-2099
C000492,760-434-5122
C000949,912-874-7883
C000418,336-250-6591
C000473,841-423-8337
C000323,335-211-9969
C000483,751-794-1478
C000432,849-606-7766
C000780,319-374-3505
C000441,381-022-9315
C000935,733-853-5593
C000569,338-011-2503
C000501,556-380-0364
C000516,754-803-2026
C000900,217-038-4372
C000639,718-776-9645
C000476,546-797-9973
C000314,353-827-2638
C000803,724-689-5303
C000702,626-184-3957
C000458,586-815-8655
C000623,860-191-8846
C000892,214-949-4612
C000386,874-553-2424
C000505,642-384-3848
C000468,983-033-8727
C000378,717-809-2724
C000671,549-336-0745
C000934,524-877-4955
